No,ClassType,ClassCode,Section,CourseName,Credit,Instructors,ClassSize,Request,Reject,PossibleClassrooms,SurveyCode
59,Elective,SE251,2,Molecular and Cellular Biology Lab,6 6,J.A.Jo,24,Mon- Wed-,Wed-16:30~18:00 Fri-,35,212
60,Elective,SE251,3,Molecular and Cellular Biology Lab,6 6,S.I.Lee,24,Tue-19:00~22:00 Thr-9:00~12:00,Tue-12:00~14:00 Wed-16:30~18:00 Fri-,35,212
61,Elective,SE352,1,Ecology and Evolution,3 3,S.I.Lee,30,Mon-13:00~18:00 Wed-13:00~18:00,Tue-12:00~14:00 Wed-16:30~18:00,0 1 3 4 5 9 11 12 15,307
62,Elective,SE357,1,Biochemistry,3 3,C.H.Lee,40,Tue-10:30~12:00 Thr-10:30~12:00,Wed-16:30~18:00,0 1 3 4 5 11 12 ,308
63,Elective,SE357,2,Biochemistry,3 3,Dae-Hwan.Kim,40,Tue-9:00~18:00 Wed-9:00~18:00 Thr-9:00~18:00,Wed-16:30~18:00,0 1 3 4 5 11 12 ,308
64,Elective,SE450a,1,Principles of Development,3 3,K.J.Kim J.M.Kwak H.K.Choi,40,Mon-10:30~12:00 Wed-10:30~12:00,,0 1 3 4 5 11 12 ,0
65,Required,SE118,1,Design Thinking,6,J.R.Park,50,Tue-9:00~18:00 Wed-9:00~12:00,Wed-16:30~18:00,17,110
66,Required,SE118,2,Design Thinking,6,J.R.Park,50,Tue-9:00~18:00 Wed-9:00~12:00,Wed-16:30~18:00,17,110
67,Elective,SE372,1,Mechatronics,3 3,Y.S.Lim,33,14:00~18:00,Fri- Wed-16:30~18:00,11 12,309
68,Required,SE213a,1,Introduction to Programming (Lecture),4,D.H.Shin,60,,9:00~10:00 Wed-16:30~18:00,4 5 11 12 16 18,213
69,Required,SE213a,2,Introduction to Programming (Lecture),4,D.H.Shin,60,,9:00~10:00 Wed-16:30~18:00,4 5 11 12 16 18,213
70,Required,SE213a,3,Introduction to Programming (Lecture),4,D.H.Shin,60,,9:00~10:00 Wed-16:30~18:00,4 5 11 12 16 18,213
71,Required,SE213a,4,Introduction to Programming (Lecture),4,D.H.Shin,60,,9:00~10:00 Wed-16:30~18:00,4 5 11 12 16 18,213
72,Required,SE213b,1,Introduction to Programming (Lab),4,D.H.Shin,30,,9:00~10:00 Wed-16:30~18:00,25,0
73,Required,SE213b,2,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
74,Required,SE213b,3,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
75,Required,SE213b,4,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
76,Required,SE213b,5,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
77,Required,SE213b,6,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
78,Required,SE213b,7,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
79,Required,SE213b,8,Introduction to Programming (Lab),4,Unknown4,30,,,25,0
80,Elective,SE483,1,Engineering Vibration,3 3,Y.S.Lim,30,,Wed-16:30~18:00,11 12,310
81,Elective,SE482,1,Fundamental of Heat Transfer,3 3,K.H.Choi,30,,Wed-16:30~18:00,0 1 3 4 5 9 11 12 15,445
82,Elective,SE368a,1,Mechanical Thermodynamics,3 3,K.H.Choi,30,,Wed-16:30~18:00,0 1 3 4 5 9 11 12 15,0
83,Elective,SE379a,1,Computer Architecture,3 3,Dae-Hoon.Kim,0,Tue-15:00~16:30 Thr-15:00~16:30,,41,341
84,Elective,SE274,1,Data Structure,3 3,S.J.Kim,0,Mon-15:00~16:30 Wed-15:00~16:30,,55,218
85,Elective,SE391,1,Signalsl and Systems,3 3,J.H.Kwak,40,Mon-10:30~12:00 Wed-10:30~12:00,,55,336
86,Elective,SE392,1,Introduction to Electronic Circuits,3 3,J.H.Kung,40,Mon-13:30~15:00 Wed-13:30~15:00,,41,337
87,Elective,SE393,1,Fundamentals of Electronic Devices,3 3,H.K.Kang,30,Tue-10:30~12:00 Thr-10:30~12:00,,42,338
88,Elective,SE370a,1,Operating Systems,3 3,S.J.Lee,50,Tue-13:30~15:00 Thr-13:30~15:00,,55,342
89,Elective,SE477,1,Electromagnetism in Materials,3 3,J.I.Hong,30,Tue-15:00~16:30 Thr-15:00~16:30,,0 1 3 4 5 9 11 12 15,441
90,Elective,SE478,1,Materials science of thin films,3 3,Shin-Bum.Lee,0,Tue-9:00~10:30 Thr-9:00~10:30,,0 1 3 4 5 11 12 ,442
91,Elective,SE479,1,Surface and Interface Science,3 3,D.W.Moon,20,Tue-13:00~14:30 Thr-13:00~14:30,,0 1 3 4 5 9 11 12 15,443
92,Elective,SE396,1,Introduction to materials science & engineering,3 3,Ju-Hyuk.Lee,30,Tue-9:00~18:00 Thr-9:00~18:00,,0 1 3 4 5 9 11 12 15,339
93,Elective,SE476,1,Reinforcement learning,3 3,D.S.Lee,50,,Wed-16:30~18:00,4 5 11 12 16 18,440
94,Elective,SE365,1,Robots for Human,3 3,H.J.Kim H.S.Choi J.S.Hong K.I.Jang S.H.Lee Y.K.Lee,35,Wed-16:00~17:30 Thr-16:00~17:30,,48,311
95,Elective,SE374a,1,Neuroscience I,3 3,B.C.Seo,60,Mon-10:30~12:00 Thr-10:30~12:00,,18,312
